epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,162.575,1.2551,0.68852,1,1.14111,0.0003375,0.0003375,0.0003375
2,328.747,0.64597,0.7541,1,0.60767,0.000642125,0.000642125,0.000642125
3,491.349,0.19961,0.83607,1,0.45715,0.00090055,0.00090055,0.00090055
4,657.376,0.11613,0.95082,1,0.2655,0.0010025,0.0010025,0.0010025
5,831.158,0.08107,1,1,0.17487,0.00092,0.00092,0.00092
6,1014.94,0.06176,0.96721,1,0.194,0.0008375,0.0008375,0.0008375
7,1210.12,0.09626,0.95082,1,0.12408,0.000755,0.000755,0.000755
8,1391.64,0.07904,1,1,0.0878,0.0006725,0.0006725,0.0006725
9,1568.95,0.06797,1,1,0.08432,0.00059,0.00059,0.00059
10,1714.49,0.02978,1,1,0.02007,0.0005075,0.0005075,0.0005075
11,1884.61,0.06575,1,1,0.01226,0.000425,0.000425,0.000425
12,2063.05,0.03844,1,1,0.01584,0.0003425,0.0003425,0.0003425
13,2236.85,0.02831,1,1,0.00969,0.00026,0.00026,0.00026
14,2387.94,0.03965,1,1,0.00644,0.0001775,0.0001775,0.0001775
15,2537.54,0.04329,1,1,0.0045,9.5e-05,9.5e-05,9.5e-05
